Gym,Website,City,Subscription,Availability
Gym 1,www.gym1.com,New York,$20/month,Open
Gym 2,www.gym2.com,Los Angeles,$25/month,Open
Super Fitness,www.superfitness.com,Chicago,$30/month,Closed
Future Workout,www.futureworkout.com,New York,$40/month,Open
Healthy Gym,www.healthygym.com,Los Angeles,$35/month,Closed
Gym Plus,www.gymplus.com,Chicago,$50/month,Open
Endurance Gym,www.endurancegym.com,New York,$60/month,Open
Peak Fitness,www.peakfitness.com,Los Angeles,$55/month,Closed
Body Works,www.bodyworks.com,Chicago,$45/month,Open
Fit Forever,www.fitforever.com,New York,$70/month,Open